"site","plot_no","reading","light","canopy_openness","P_ID"
"Old_Valparai",7,4,770,6,"Old_Valparai_7"
"Old_Valparai",8,1,1610,5,"Old_Valparai_8"
"Old_Valparai",8,2,840,2,"Old_Valparai_8"
"Old_Valparai",8,3,520,3,"Old_Valparai_8"
"Old_Valparai",8,4,1050,4,"Old_Valparai_8"
"Old_Valparai",9,1,490,2,"Old_Valparai_9"
"Old_Valparai",9,2,1790,2,"Old_Valparai_9"
"Old_Valparai",9,3,1270,5,"Old_Valparai_9"
"Old_Valparai",9,4,1950,2,"Old_Valparai_9"
"Old_Valparai",10,1,4410,4,"Old_Valparai_10"
"Old_Valparai",10,2,760,5,"Old_Valparai_10"
"Old_Valparai",10,3,2050,6,"Old_Valparai_10"
"Old_Valparai",10,4,20300,9,"Old_Valparai_10"
"Old_Valparai",11,1,3530,4,"Old_Valparai_11"
"Old_Valparai",11,2,122600,10,"Old_Valparai_11"
"Old_Valparai",11,3,2850,3,"Old_Valparai_11"
"Old_Valparai",11,4,1020,5,"Old_Valparai_11"
"Old_Valparai",12,1,1240,4,"Old_Valparai_12"
"Old_Valparai",12,2,1330,2,"Old_Valparai_12"
"Old_Valparai",12,3,180,2,"Old_Valparai_12"
"Old_Valparai",12,4,1090,1,"Old_Valparai_12"
"Old_Valparai",13,1,2190,5,"Old_Valparai_13"
"Old_Valparai",13,2,3140,2,"Old_Valparai_13"
"Old_Valparai",13,3,5480,4,"Old_Valparai_13"
"Old_Valparai",13,4,5920,4,"Old_Valparai_13"
"Old_Valparai",14,1,1520,2,"Old_Valparai_14"
"Old_Valparai",14,2,1760,5,"Old_Valparai_14"
"Old_Valparai",14,3,980,4,"Old_Valparai_14"
"Old_Valparai",14,4,1860,5,"Old_Valparai_14"
"Old_Valparai",15,1,670,5,"Old_Valparai_15"
"Old_Valparai",15,2,2160,1,"Old_Valparai_15"
"Old_Valparai",15,3,360,2,"Old_Valparai_15"
"Old_Valparai",15,4,3210,3,"Old_Valparai_15"
"Old_Valparai",16,1,916,20,"Old_Valparai_16"
"Old_Valparai",16,2,776,4,"Old_Valparai_16"
