"group","old_code","osuri_code","current_code","original_name","original_fullname","original_family","GBIFname","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","scientificName"
"liana","Hip bou","NA","Hip bou","Hippocratea bourdillonii","Hippocratea bourdillonii Gamble","Hippocrateaceae","Hippocratea bourdillonii Gamble",10912535,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Loeseneriella","Loeseneriella bourdillonii","Hippocratea bourdillonii","Gamble","Loeseneriella bourdillonii"
"liana","Jas azo","NA","Jas azo","Jasminum azoricum","Jasminum azoricum L.","Oleaceae","Jasminum azoricum L.",3172271,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Jasminum","Jasminum azoricum","Jasminum azoricum","L.","Jasminum azoricum"
"liana","Jas rot","NA","Jas rot","Jasminum rottlerianum","Jasminum rottlerianum Wall. ex A.DC.","Oleaceae","Jasminum rottlerianum Wall., 1831",3682295,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Jasminum","Jasminum rottlerianum","Jasminum rottlerianum","Wall., 1831","Jasminum rottlerianum"
"liana","Jas sca","NA","Jas sca","Jasminum scandens","Jasminum scandens Vahl","Oleaceae","Jasminum scandens (Retz.) Vahl",3682207,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Jasminum","Jasminum scandens","Jasminum scandens","(Retz.) Vahl","Jasminum scandens"
"liana","Kun ker","NA","Kun ker","Kunstleria keralense","Kunstleria keralense Mohanan & Nair","Papilionaceae","Kunstleria keralensis C.N.Mohanan & N.C.Nair",5354472,"FUZZY",93,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Kunstleria","Kunstleria keralensis","Kunstleria keralensis","C.N.Mohanan & N.C.Nair","Kunstleria keralensis"
"liana","Luv sar","NA","Luv sar","Luvunga sarmentosa","Luvunga sarmentosa (Blume) Kurz","Rutaceae","Luvunga sarmentosa (Blume) Kurz",3834748,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Luvunga","Luvunga sarmentosa","Luvunga sarmentosa","(Blume) Kurz","Luvunga sarmentosa"
"liana","Mez cuc","NA","Mez cuc","Mezoneuron cucullatum","Mezoneuron cucullatum (Roxb.) Wight & Arn.","Caesalpiniaceae","Mezoneuron cucullatum (Roxb.) Wight & Arn.",5354740,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mezoneuron","Mezoneuron cucullatum","Mezoneuron cucullatum","(Roxb.) Wight & Arn.","Mezoneuron cucullatum"
"liana","Mus bel","NA","Mus bel","Mussaenda belilla","Mussaenda belilla Buch.-Ham.","Rubiaceae","Mussaenda belilla Buch.-Ham.",2892481,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Mussaenda","Mussaenda frondosa","Mussaenda belilla","Buch.-Ham.","Mussaenda frondosa"
"liana","Myx ser","NA","Myx ser","Myxopyrum serratulum","Myxopyrum serratulum A.W. Hill","Oleaceae","Myxopyrum serratulum A.W.Hill",3684134,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Myxopyrum","Myxopyrum smilacifolium","Myxopyrum serratulum","A.W.Hill","Myxopyrum smilacifolium"
"liana","Noliana","NA","Noliana","NA","NA","NA","NA","NA","NONE",100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
