WeirdSiteID,PlotID,Plant.year,Site_ID,Site_type,treespecies,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Notes
IPTOP,R04,2004,IPTO_04U,Unrestored,Acronychia pedunculata,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Acronychia pedunculata,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Persea macarantha,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Eugenia sp.,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Litsea floribunda,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Cinnamomum malabathrum,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Macaranga peltata,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Ficus hispida,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Heritiera papilio,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Cinnamomum malabathrum,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Macaranga peltata,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R04,2004,IPTO_04U,Unrestored,Clerodendrum infortunatum,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
