date,year,month,day,precipitation,maxTemp,minTemp,temperature,maxRH,minRH,humidity,maxwind,minwind,windspeed,maxgust,mingust,gustspeed,maxdew,mindew,dewpoint,maxRad,minRad,radiance,daylight
2016-05-05,2016,5,5,0,30.495,19.294,23.373802083333334,96.5,64.2,84.57604166666667,0.5338095238095238,0,0.07306051587301586,4.011269841269842,0.007936507936507917,1.0808085317460319,20.480114285714286,6.391285714285714,11.463762202380952,1556.2,1.2,265.00208333333336,12.25
2016-05-06,2016,5,6,44.61,31.51,18.771,21.889239583333335,100,60.2,91.596875,0.545873015873016,0,0.09431547619047619,4.039206349206349,0.007936507936507917,1.1264021164021165,20.93527142857143,6.339599999999999,11.350323214285714,1536.2,1.2,251.59062500000002,12.75
2016-05-07,2016,5,7,1.6,31.484,18.58,23.511822916666667,99.2,59.9,85.75520833333333,0.5620634920634922,0,0.09836309523809524,4.0553968253968256,0.007936507936507917,1.1195155423280423,20.960842857142858,6.257685714285714,11.120400297619048,2186.2,1.2,486.5385416666667,12.5
2016-05-08,2016,5,8,14.8,28.766,19.056,21.76519791666667,100,74.3,92.49583333333334,0.5501587301587302,0,0.09624173280423279,3.935714285714286,0.007936507936507917,1.0901322751322753,19.993571428571432,6.159642857142857,10.74023511904762,1821.2,1.2,257.3197916666667,12.75
2016-05-09,2016,5,9,0,30.874,18.771,23.730833333333333,97.6,64.6,83.50416666666666,0.5541269841269841,0,0.09428240740740738,3.93984126984127,0.007936507936507917,1.068682208994709,18.946285714285715,6.191699999999999,10.405772916666667,2088.7,1.2,512.4760416666667,12.5
2016-05-10,2016,5,10,2,30.646,19.103,22.857447916666665,99.2,65.1,87.90625,0.533968253968254,0,0.09023809523809523,3.8634920634920635,-1.9825411154020653e-17,1.0591137566137567,17.97617142857143,6.192842857142857,9.991206547619047,2241.2,1.2,398.8822916666667,12
2016-05-11,2016,5,11,12.200000000000001,27.505,18.176,21.670260416666668,98.6,76.8,88.82291666666667,0.577936507936508,0,0.11059358465608463,3.971746031746032,0.03999999999999999,1.1062020502645502,17.850214285714284,6.110842857142856,9.57341994047619,1433.7,1.2,250.39270833333333,12.5
2016-05-12,2016,5,12,0,31.842,18.485,22.67784375,99.3,66.4,86.01875,0.5898412698412699,0,0.10106316137566136,4.031428571428571,0.06396825396825395,1.1085152116402117,17.372242857142858,6.126099999999999,9.184992261904762,2106.2,1.2,337.89270833333336,12.5
2016-05-13,2016,5,13,2.4,30.621,18.176,22.481020833333332,100,68.9,91.015625,0.5541269841269841,0,0.08323082010582009,3.9555555555555557,0.06396825396825395,1.0564484126984128,17.081557142857143,6.0193571428571415,9.012019345238096,1851.2,1.2,346.87708333333336,12.75
2016-05-14,2016,5,14,6,31.433,17.296,23.40447916666667,100,60.4,87.16770833333334,0.5460317460317461,0,0.08115575396825395,4.015079365079365,0.06396825396825395,1.0555009920634921,16.18677142857143,5.879671428571428,8.856378273809524,2021.2,1.2,514.715625,12.75
2016-05-15,2016,5,15,0,28.369,19.294,23.10271875,100,62.9,90.978125,0.55,0,0.08538855820105817,4.007142857142857,0.06396825396825395,1.0701587301587303,15.963985714285714,5.8248999999999995,8.80363125,1651.2,1.2,325.1322916666667,12.75
2016-05-16,2016,5,16,15.4,21.27,18.343,19.688427083333334,100,94.5,98.56354166666667,0.5542857142857144,0,0.09124007936507934,3.943174603174603,0.07190476190476189,1.1151818783068783,15.6983,5.8734714285714285,8.827683333333335,326.2,1.2,79.246875,12.25
2016-05-17,2016,5,17,18,24.871,16.439,20.629739583333333,100,83.2,95.73229166666667,0.5785714285714286,0,0.10157407407407405,3.9314285714285715,0.08777777777777776,1.1780853174603174,15.499828571428571,5.906785714285713,8.845673214285714,771.2,1.2,165.54895833333333,12.5
2016-05-18,2016,5,18,0.4,25.987,19.175,21.01759375,100,79.2,95.628125,0.550952380952381,0,0.08709821428571428,3.8590476190476193,0.06380952380952379,1.168637566137566,15.257171428571429,5.9475999999999996,8.827636904761906,1041.2,1.2,135.809375,12.25
2016-05-19,2016,5,19,0,28.147,19.365,22.250864583333332,99.6,74,90.38125,0.5152380952380953,0,0.077323082010582,3.7473015873015876,0.04777777777777776,1.1392774470899472,14.409828571428573,6.032685714285714,8.770241964285715,1336.2,1.2,266.1479166666667,12.5
2016-05-20,2016,5,20,0.8,27.431,18.485,21.043604166666668,99.9,76.9,94.20520833333333,0.5152380952380953,0,0.07972883597883597,3.751428571428572,0.04777777777777776,1.1647966269841272,13.718028571428572,6.179614285714285,8.736593154761906,1433.7,1.2,195.78333333333333,12.5
2016-05-21,2016,5,21,0,27.776,18.771,22.22053125,99.1,72.5,90.246875,0.5430158730158731,0,0.09244047619047617,3.743333333333333,0.07968253968253966,1.2197982804232805,13.760028571428572,6.4613,8.857392559523811,1233.7,1.2,274.1947916666667,12.5
2016-05-22,2016,5,22,0,32.227,18.961,24.067666666666668,98.8,62.8,86.58645833333333,0.5788888888888889,0,0.10126818783068782,3.838888888888889,0.11158730158730155,1.2986524470899472,13.457785714285714,6.664028571428571,8.939725892857144,2068.7,1.2,499.559375,12.5
2016-05-23,2016,5,23,0,29.165,19.056,22.980385416666667,100,75.7,92.75729166666667,0.5668253968253969,0,0.10470403439153439,3.8787301587301592,0.11158730158730155,1.3373826058201057,13.6908,6.644742857142857,8.92602380952381,1403.7,1.2,272.7625,12.5
2016-05-24,2016,5,24,0,29.64,18.675,23.28421875,100,69.2,89.10312499999999,0.5187301587301587,0,0.09652777777777777,3.854761904761905,0.11968253968253964,1.3338508597883598,13.6348,6.628042857142857,8.930074702380953,1796.2,1.2,384.0125,12.75
2016-05-25,2016,5,25,4.2,29.09,19.912,22.153416666666665,99.9,74.8,93.59270833333333,0.5504761904761905,0,0.09495370370370369,3.974761904761905,0.12761904761904758,1.3505654761904764,13.1839,6.566628571428572,8.891418154761904,1706.2,1.2,270.575,12.5
2016-05-26,2016,5,26,0.2,29.69,18.794,23.167729166666668,100,67.4,88.36041666666667,0.5822222222222223,0,0.10155257936507935,4.006507936507936,0.1436507936507936,1.4051339285714286,13.337257142857142,6.497257142857143,8.85040505952381,2173.7,1.2,459.79375,12.75
2016-05-27,2016,5,27,45,31.459,17.986,21.87591666666667,100,68.4,92.67604166666666,0.6058730158730159,0,0.09626488095238094,4.313809523809524,0.1436507936507936,1.3989880952380953,12.980357142857143,6.506842857142857,8.783239880952381,2353.7,1.2,342.7885416666667,12.75
2016-05-28,2016,5,28,1,29.54,18.937,21.224291666666666,100,75.3,94.62291666666667,0.5501587301587302,0,0.08112268518518517,4.17031746031746,0.11968253968253965,1.35786541005291,12.986414285714286,6.445328571428571,8.746952976190476,2323.7,1.2,264.68958333333336,12.25
2016-05-29,2016,5,29,1.6,25.55,18.889,20.402197916666665,100,81.8,97.16458333333334,0.5301587301587302,0,0.06872519841269839,4.1623809523809525,0.08777777777777776,1.315085978835979,12.97942857142857,6.407342857142857,8.739034821428572,973.7,1.2,152.16354166666667,12.75
2016-05-30,2016,5,30,0.2,28.072,17.344,21.346270833333335,99.4,73.3,91.52708333333334,0.5541269841269841,0,0.07393022486772485,4.2103174603174605,0.1038095238095238,1.286942791005291,12.988114285714286,6.388442857142857,8.744121726190476,1558.7,1.2,313.8822916666667,12.75
2016-05-31,2016,5,31,0.8,29.615,18.129,20.929614583333333,100,73.9,94.8375,0.59,0,0.08633432539682538,4.210476190476191,0.09587301587301586,1.2846626984126985,12.860928571428571,6.420285714285713,8.738359821428572,2063.7,1.2,240.13229166666667,12.75
2016-06-01,2016,6,1,5.2,27.382,17.867,20.760052083333335,100,75.2,94.07916666666667,0.557936507936508,0,0.08698247354497353,3.983015873015873,0.07984126984126982,1.2556431878306877,13.521557142857144,6.467171428571428,8.887170833333334,1976.2,1.2,242.78854166666667,12.75
2016-06-02,2016,6,2,15.8,27.998,17.249,20.483395833333333,100,74.3,94.828125,0.537936507936508,0,0.08386243386243385,3.9393650793650794,0.05587301587301585,1.2148809523809523,13.394900000000002,6.524957142857142,8.907104464285714,1763.7,1.2,291.04375,12.75
2016-06-03,2016,6,3,0.2,29.215,18.224,21.30171875,100,74.3,93.87291666666667,0.537936507936508,0,0.08755621693121692,3.747777777777778,0.05587301587301585,1.2571891534391535,14.20972857142857,6.510585714285713,8.967758333333334,2061.2,1.2,291.7729166666667,12.5
2016-06-04,2016,6,4,9.6,24.026,18.557,20.263239583333334,100,89.9,98.12604166666667,0.6019047619047619,0,0.11216600529100527,3.8715873015873017,0.04793650793650791,1.3413640873015873,14.262157142857143,6.474057142857142,8.904736607142857,718.7,1.2,155.47083333333333,12.5
2016-06-05,2016,6,5,26.400000000000002,26.891,18.723,20.294125,100,79.9,97.590625,0.6377777777777779,0,0.12534556878306877,3.8795238095238096,0.07190476190476189,1.405598544973545,14.177785714285715,6.400028571428571,8.809904166666668,1446.2,1.2,181.56458333333333,12.5
2016-06-06,2016,6,6,0.4,25.866,18.319,20.715072916666667,100,80.1,95.234375,0.673968253968254,0,0.13144179894179892,4.047301587301588,0.09190476190476189,1.5149007936507937,13.784842857142857,6.374285714285714,8.707376785714287,1051.2,1.2,255.21041666666667,12.5
2016-06-07,2016,6,7,3.2,30.748,18.604,21.074677083333334,100,70,94.696875,0.7223809523809523,0,0.14042824074074073,4.186984126984127,0.11984126984126982,1.6337962962962964,13.635328571428571,6.304157142857143,8.596430357142857,2308.7,1.2,286.6166666666667,12.75
2016-06-08,2016,6,8,18,25.016,18.628,20.07709375,100,93.4,99.684375,0.7744444444444445,0,0.1503769841269841,4.426349206349206,0.16761904761904758,1.7626686507936509,12.749857142857142,6.268842857142857,8.34782619047619,1186.2,1.2,127.63229166666667,12.5
2016-06-09,2016,6,9,40,21.223,19.08,19.689354166666668,100,100,100,0.8187301587301589,0,0.1632142857142857,4.60984126984127,0.23158730158730156,1.8971097883597885,12.481714285714286,6.261271428571428,8.245140773809524,558.7,1.2,79.53333333333333,12.25
2016-06-10,2016,6,10,20,22.274,18.033,19.3388125,100,97.4,99.95625,0.8507936507936508,0,0.17794312169312168,4.685396825396826,0.2876190476190476,1.997986111111111,11.736728571428571,6.289042857142857,8.123730654761905,688.7,1.2,94.35104166666666,12.25
2016-06-11,2016,6,11,21,24.219,18.2,19.75032291666667,100,89.8,98.89166666666667,0.8587301587301587,0,0.17091269841269838,4.733492063492064,0.3514285714285714,2.0426140873015872,12.173157142857141,6.326071428571429,8.231972023809524,1086.2,1.2,146.33020833333333,12.25
2016-06-12,2016,6,12,2.8000000000000003,26.378,18.913,20.8258125,100,83.9,96.459375,0.8507936507936508,0,0.17848214285714284,4.845555555555555,0.3834920634920635,2.0832870370370373,12.8168,6.3599428571428565,8.348740773809524,1736.2,1.2,268.9604166666667,12.75
2016-06-13,2016,6,13,11.6,25.598,17.962,20.21291666666667,100,81.9,96.69583333333334,0.8423809523809523,0,0.17598544973544974,4.813650793650794,0.4034920634920635,2.069842923280423,13.420814285714286,6.399957142857143,8.434606845238097,1203.7,1.2,213.33541666666667,12.75
2016-06-14,2016,6,14,0.8,28.593,17.891,20.769458333333333,100,68.4,92.65208333333334,0.7820634920634921,0,0.16272431657848324,4.7536507936507935,0.40746031746031747,2.0336932319223986,14.230957142857145,6.404442857142857,8.684762500000001,2046.2,1.2,366.5125,12.75
2016-06-15,2016,6,15,0,26.158,17.439,20.56846875,99.9,73.5,89.79895833333333,0.7661904761904762,0,0.16388172398589065,4.726031746031746,0.40365079365079365,2.0001003086419753,14.328814285714287,6.426671428571429,8.71011398809524,1566.2,1.2,336.17395833333336,12.75
2016-06-16,2016,6,16,13.6,21.127,17.486,18.79396875,100,96.4,99.29895833333333,0.713968253968254,0,0.1521604938271605,4.546507936507937,0.36365079365079367,1.932601962081129,14.430528571428571,6.424428571428571,8.749436904761906,651.2,1.2,105.28854166666666,12.25
2016-06-17,2016,6,17,2.8,26.671,17.391,20.24865625,100,74.4,94.51770833333333,0.693968253968254,0,0.14232749118165783,4.482857142857143,0.32365079365079363,1.8640421075837743,14.244371428571428,6.407242857142856,8.737678571428573,1496.2,1.2,271.590625,12.5
