plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
K05,Candura,Fragment,10.30584,76.8339,100,450.336878335126,20,9,5,1,3,3,30.5714761874856,94.71060527890357,0.44877994675000005,18.9,60,15,8,1,10,6,0.5472925909333333
J05,Candura,Fragment,10.30584,76.83482,90,493.051286400672,27,11,3,2,4,2,35.20089559467108,88.5319799407733,0.41819384629629636,20.962962962962962,23,6,4,0,5,1,0.5124087558333333
K04,Candura,Fragment,10.30494,76.8339,100,357.958834478972,22,13,6,1,7,3,75.88109799263827,271.8889509306195,0.4824108219545455,22.227272727272727,131,20,11,1,16,7,0.5800061624210526
J04,Candura,Fragment,10.30493,76.83481,95,396.88505504693,18,10,4,0,3,2,52.52511009390277,180.549905515455,0.4429131487222222,29.38888888888889,60,10,4,0,7,3,0.5237425607999999
I05,Candura,Fragment,10.30583,76.83573,NA,502.973691278326,25,11,4,3,4,2,40.54691013312785,113.66052768241718,0.47019498332,17.88,67,12,8,0,7,5,0.5570589995833334
H08,Candura,Fragment,10.30854,76.83666,100,759.706251592859,29,10,2,3,1,1,23.894926324780563,52.33577700378492,0.39489837772413794,24.178571428571427,6,3,2,0,3,1,0.519730106
J08,Candura,Fragment,10.30847,76.83483,NA,559.857201479907,31,7,4,2,3,2,31.524615352927178,78.0889272495348,0.44183870967741934,18.903225806451612,38,9,5,2,6,2,0.5026010282222222
M08,Candura,Fragment,10.30856,76.83209,NA,259.927158638808,17,7,4,1,5,2,12.702752839200759,24.815104920482618,0.43609088417647063,20.235294117647058,13,8,5,0,5,3,0.5141382058571429
M07,Candura,Fragment,10.30766,76.83209,85,261.269609476863,21,11,7,1,8,3,19.515380178249345,45.61625254423879,0.4835542159047619,20.714285714285715,48,12,8,1,9,4,0.568113034
L08,Candura,Fragment,10.30856,76.83301,75,360.692812837862,14,9,2,2,3,1,12.18967709140828,26.036719722059903,0.4200328722857143,18.785714285714285,69,21,14,1,13,7,0.5021367162857143
K07,Candura,Fragment,10.30765,76.83391,NA,459.673604917518,27,9,6,1,5,4,68.89081394836347,303.63189726656447,0.39196555985185183,25.037037037037038,103,23,17,1,18,10,0.5959630690454545
N08,Candura,Fragment,10.30857,76.83118,NA,160.27646448662,26,3,2,1,2,0,22.64078537321643,57.529427180831085,0.3559492952692308,29.53846153846154,97,18,13,2,13,8,0.5465130722352941
A02,Candura,Fragment,10.30308,76.84302,NA,621.601832664319,12,6,0,3,0,0,31.496763237886093,72.04384050258533,0.4074166666666667,22.25,17,2,0,1,1,0,0.5518596895
M10,Candura,Fragment,10.31037,76.8321,100,226.881245451144,18,13,6,1,6,3,27.84137208242299,89.48663578259061,0.4663128381111112,19,117,16,11,1,13,6,0.5598032375333334
L10,Candura,Fragment,10.31037,76.83302,100,324.922897696857,14,10,6,0,6,1,38.7436846278967,158.97870370343728,0.4914953330714286,23.785714285714285,60,19,10,1,12,5,0.5401220161111111
